company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Uncle Lous Fried Chicken,,(901) 332-2367,Memphis,TN,,restaurant,678,4.2
Envy Nail Bar,,(901) 249-2160,Memphis,TN,,beauty,238,3.1
Nail Bar,,(901) 527-9107,Memphis,TN,,beauty,190,3.7
Diva Nails & Spa,,(901) 590-1670,Memphis,TN,,beauty,121,3.1
European Wax Center,,(901) 417-8444,Memphis,TN,,beauty,112,4.2
Gloss Nail Bar,,(901) 249-5839,Memphis,TN,,beauty,111,2.5
Relax Nail Spa,,(901) 433-9593,Memphis,TN,,beauty,106,3.5
Nail Bar-Saddle Creek,,(901) 321-5052,Germantown,TN,,beauty,104,3.5
Spa Nail,,(901) 278-0222,Memphis,TN,,beauty,103,4.0
Trilogy,,(901) 327-0404,Memphis,TN,,beauty,88,3.6
Barons Barbershop,,(901) 505-2242,Memphis,TN,,beauty,84,3.8
Gloss Nail Bar,,(901) 779-7406,Memphis,TN,,beauty,82,2.9
DanielShay's Salon Boutique Spa,,(901) 309-0330,Cordova,TN,,beauty,79,4.1
Elite Nail Spa,,(901) 818-2976,Memphis,TN,,beauty,78,3.4
Ace Nails & Spa,,(901) 509-8589,Memphis,TN,,beauty,77,3.8
Gould's Salon Spa - Poplar Plaza,,(901) 323-8594,Memphis,TN,,beauty,77,4.0
Pavo Salon,,(901) 818-0773,Memphis,TN,,beauty,75,4.4
Megan's Nails,,(901) 324-3112,Memphis,TN,,beauty,72,2.8
1776 Men's Grooming Parlor,,(901) 791-0360,Memphis,TN,,beauty,72,4.4
Walgreens,,(901) 272-2006,Memphis,TN,,beauty,67,1.6
La Belle Nailbar,,(662) 890-5169,Olive Branch,MS,,beauty,66,2.3
Vo's Nails,,(901) 207-6832,Memphis,TN,,beauty,65,3.1
European Wax Center,,(901) 746-8687,Cordova,TN,,beauty,64,4.0
Empire Hair Studio,,(901) 672-7926,Memphis,TN,,beauty,60,4.4
Massage Envy,,(901) 276-1011,Memphis,TN,,beauty,59,2.5
Luxury Spa & Nails,,(901) 552-4487,Memphis,TN,,beauty,58,2.9
Talento Fino Barbershop,,(901) 210-4991,Memphis,TN,,barbershop,31,4.0
Mid-City Barber Shop,,(901) 725-6858,Memphis,TN,,barbershop,29,3.5
High Point Barber Shop,,(901) 715-9993,Memphis,TN,,barbershop,26,4.3
Sport Clips Haircuts of Stonebridge,,(901) 937-0728,Lakeland,TN,,barbershop,22,2.5
1776 men's grooming parlor,,(901) 610-3117,Collierville,TN,,barbershop,20,4.6
Sport Clips Haircuts of Millington,,(901) 872-7778,Millington,TN,,barbershop,19,3.2
Sport Clips Haircuts of Memphis - Midtown,,(901) 310-4355,Memphis,TN,,barbershop,16,3.3
Legacy Mens Grooming,,(901) 433-9334,Germantown,TN,,barbershop,14,4.3
Stage Road Barber Shop,,(901) 382-4864,Memphis,TN,,barbershop,14,4.8
Mitchell's Barber Shop,,(901) 853-2799,Collierville,TN,,barbershop,14,4.4
Picture Perfect Haircuts,,(901) 666-2046,Memphis,TN,,barbershop,13,4.9
Sport Clips Haircuts of East Memphis,,(901) 685-5995,Memphis,TN,,barbershop,13,2.5
Sport Clips Haircuts of Cordova,,(901) 755-5977,Cordova,TN,,barbershop,12,4.3
Sport Clips Haircuts of Southaven,,(662) 536-2234,Southaven,MS,,barbershop,11,2.7
Sport Clips Haircuts of Collierville,,(901) 854-1088,Collierville,TN,,barbershop,11,2.4
A Closer Look Barber Shop,,(901) 221-8374,Collierville,TN,,barbershop,11,4.6
Bartlett Barber Shop,,(901) 386-5740,Memphis,TN,,barbershop,11,4.8
PJ's Gentlemen's Grooming,,(901) 552-2388,Memphis,TN,,barbershop,10,4.9
Oliver's Barber Shop,,(901) 867-8778,Arlington,TN,,barbershop,10,4.5
Icuts,,(901) 606-2450,Memphis,TN,,barbershop,9,4.6
Hair Masters Old Fashioned Barber Shop,,(662) 812-1443,Olive Branch,MS,,barbershop,8,4.9
Sport Clips Haircuts of Germantown,,(901) 756-4884,Germantown,TN,,barbershop,8,3.4
Frenchy's Barber Shop & Styling,,(901) 872-1165,Millington,TN,,barbershop,7,4.7
Allstars Beauty & Barber Salon,,(901) 521-7827,Memphis,TN,,barbershop,7,5.0
Bombay Salon & Spa,,(901) 756-7078,Memphis,TN,,hair salon,94,3.4
Dabbles Hair Company,,(901) 725-0521,Memphis,TN,,hair salon,55,4.4
Salon 387,,(901) 288-6208,Memphis,TN,,hair salon,55,4.3
Gould's Salon Spa - Downtown,,(901) 578-8868,Memphis,TN,,hair salon,49,3.7
Gould's Salon Spa - Cordova,,(901) 757-4600,Cordova,TN,,hair salon,48,3.5
A Natural Affair,,(901) 320-6300,Memphis,TN,,hair salon,44,2.8
The Salon,,(901) 276-5990,Memphis,TN,,hair salon,41,4.5
Martha’s Palace Dominican Salon,,(901) 797-8040,Memphis,TN,,hair salon,41,2.5
Richard & Co Salon,,(901) 861-1414,Collierville,TN,,hair salon,40,4.3
Ulta Beauty,,(901) 762-1005,Memphis,TN,,hair salon,39,2.6
Paul Mitchell The School Memphis,,(901) 377-1701,Memphis,TN,,hair salon,39,2.6
Fantastic Sams Cut & Color,,(901) 276-1405,Memphis,TN,,hair salon,37,2.8
Bombay Salon & Spa,,(901) 207-3620,Memphis,TN,,hair salon,34,3.5
Gould's Salon Spa - Overton Square,,(901) 509-2059,Memphis,TN,,hair salon,33,4.0
Gould's Day Spa & Salon,,(901) 767-3888,Memphis,TN,,hair salon,32,3.7
Epic Total Salon,,(901) 818-5501,Memphis,TN,,hair salon,32,4.2
Capelli,,(901) 767-5066,Memphis,TN,,hair salon,30,3.8
Great Lengths,,(901) 683-7773,Memphis,TN,,hair salon,26,3.8
The Lookout,,(901) 291-8040,Memphis,TN,,nightlife,640,3.2
Itta Bena,,(901) 578-3031,Memphis,TN,,nightlife,538,4.4
Silky O'Sullivan's,,(901) 522-9596,Memphis,TN,,nightlife,521,3.2
Huey's Downtown,,(901) 527-2700,Memphis,TN,,nightlife,497,3.9
Lafayette's Music Room,,(901) 207-5097,Memphis,TN,,nightlife,471,4.0
Seasons 52,,(901) 682-9952,Memphis,TN,,nightlife,467,3.9
Wolf River Brisket,,(901) 316-5590,Germantown,TN,,nightlife,451,3.9
Bardog Tavern,,(901) 275-8752,Memphis,TN,,nightlife,450,4.1
Big Bad Breakfast - Memphis,,(901) 881-3346,Memphis,TN,,nightlife,445,3.9
Moondance Grill,,(901) 755-1471,Germantown,TN,,nightlife,443,4.1
Char Restaurant,,(901) 249-3533,Memphis,TN,,nightlife,417,4.1
Rum Boogie Cafe,,(901) 528-0150,Memphis,TN,,nightlife,413,3.6
Bayou Bar & Grill,,(901) 278-8626,Memphis,TN,,nightlife,411,3.4
Slider Inn - Midtown,,(901) 725-1155,Memphis,TN,,nightlife,403,3.5
Firebirds Wood Fired Grill,,(901) 379-1300,Bartlett,TN,,nightlife,396,3.8
Young Avenue Deli,,(901) 278-0034,Memphis,TN,,nightlife,392,3.3
Flying Saucer Draught Emporium,,(901) 523-8536,Memphis,TN,,nightlife,391,3.9
Jim's Place Grille,,(901) 861-5000,Collierville,TN,,nightlife,380,4.2
Owen Brennan's,,(901) 761-0990,Memphis,TN,,event planning,342,3.5
Limelight,,(901) 791-2328,Germantown,TN,,event planning,108,4.1
Holliday Flowers and Events,,(901) 753-2400,Germantown,TN,,event planning,32,4.7
Pump It Up Bartlett,,(901) 386-8700,Bartlett,TN,,event planning,29,3.8
The Tower Center,,(901) 767-8776,Memphis,TN,,event planning,22,4.1
Southern Event Planners,,(901) 757-9339,Memphis,TN,,event planning,11,3.2
Bounz,,(662) 470-7909,Southaven,MS,,event planning,9,3.9
Simply Delicious Caterings,,(901) 682-9997,Memphis,TN,,event planning,7,5.0
Southern Charm Events Group,,(901) 590-8474,Collierville,TN,,event planning,7,1.7
Maple Grove Farm,,(901) 861-7422,Collierville,TN,,event planning,5,2.2
Chimes and Occasions,,(901) 722-9687,Memphis,TN,,event planning,5,5.0
Petali,,(901) 672-7644,Brighton,TN,,event planning,5,4.6
Ballooned and Knotted,,(770) 861-8147,Olive Branch,MS,,event planning,4,5.0
Ritzee Florist & Interior Design,,(901) 525-1645,Memphis,TN,,event planning,4,4.0
Sign Gypsies North Mississippi,,(901) 484-7357,Southaven,MS,,event planning,4,4.0
Party Connection,,(901) 309-9664,Memphis,TN,,event planning,3,3.3
The Balcony,,(901) 840-1970,Munford,TN,,event planning,3,2.7
Magnolia the Room,,(901) 278-9080,Memphis,TN,,event planning,3,3.0
The Hardin House,,(901) 299-4571,Memphis,TN,,event planning,2,5.0
Angela Mazanti Events,,(901) 690-2738,Memphis,TN,,event planning,2,3.0
Glitz N' Glam,,,Memphis,TN,,event planning,2,5.0
Resource Entertainment Group,,(901) 543-1155,Memphis,TN,,event planning,2,3.0
My Tasteful Creations,,(601) 596-3717,Southaven,MS,,event planning,2,5.0
Nique's Event Planning & Design,,(901) 649-9275,Memphis,TN,,event planning,1,5.0
Funn Entertainment,,(901) 860-1171,Memphis,TN,,event planning,1,1.0
Life Time,,(901) 853-9393,Collierville,TN,,fitness,84,3.2
LA Fitness,,(901) 291-1113,Lakeland,TN,,fitness,46,2.4
LA Fitness,,(901) 203-5361,Memphis,TN,,fitness,40,3.3
Sana Yoga,,(901) 729-7146,Memphis,TN,,fitness,40,4.7
Planet Fitness,,(901) 509-2074,Memphis,TN,,fitness,36,3.1
DAC Fitness,,(662) 349-0403,Southaven,MS,,fitness,36,2.9
Memphis Judo & Jiu-Jitsu,,(901) 590-2492,Memphis,TN,,fitness,33,3.8
Planet Fitness,,(901) 937-8900,Bartlett,TN,,fitness,33,3.0
LA Fitness,,(901) 291-1114,Memphis,TN,,fitness,32,3.7
LA Fitness,,(901) 610-4176,Collierville,TN,,fitness,32,2.4
Memphis Fitness Kickboxing - Midtown,,(901) 249-2165,Memphis,TN,,fitness,30,4.3
ATC Fitness,,(901) 756-2480,Memphis,TN,,fitness,29,2.1
Crunch Fitness - White Station,,(901) 300-7199,Memphis,TN,,fitness,29,2.1
Jane's Gym Fitness For Women,,(662) 893-5263,Olive Branch,MS,,fitness,28,2.9
Germantown Athletic Club,,(901) 757-7370,Germantown,TN,,fitness,26,3.9
ATC Fitness,,(901) 377-1414,Bartlett,TN,,fitness,26,2.9
Delta Groove Yoga,,(901) 207-7835,Memphis,TN,,fitness,25,4.8
Blue Suede Ballroom,,(901) 758-0032,Memphis,TN,,fitness,22,4.8
Envision Memphis,,(901) 521-8117,Memphis,TN,,fitness,21,4.8
Olive Branch Family YMCA,,(662) 890-9622,Olive Branch,MS,,fitness,21,3.5
LA Fitness,,(901) 291-1101,Memphis,TN,,fitness,21,3.2
Atc Fitness Lakeland,,(901) 372-1700,Lakeland,TN,,fitness,20,3.3
CYCLEBAR,,(901) 249-8205,Germantown,TN,,fitness,20,4.1
Louis T. Fogelman Branch YMCA,,(901) 766-7677,Memphis,TN,,fitness,20,3.3
Orangetheory Fitness,,(901) 421-5785,Memphis,TN,,fitness,20,3.7
Progress Residential,,(901) 235-8165,Memphis,TN,,real estate,520,1.3
Exchange Building Apartments,,(901) 527-0244,Memphis,TN,,real estate,66,2.8
Revid Realty,,(901) 725-7766,Memphis,TN,,real estate,56,1.4
Reedy & Company,,(901) 842-0805,Memphis,TN,,real estate,50,1.5
Kismet Property Management,,(901) 272-8658,Memphis,TN,,real estate,45,2.7
Lubin Property Management,,(901) 272-0100,Memphis,TN,,real estate,38,1.4
Advantage Property Management,,(901) 347-3148,Memphis,TN,,real estate,28,2.3
The Estates at River Pointe,,(901) 544-7077,Memphis,TN,,real estate,27,2.6
Centennial Gardens,,(901) 758-8855,Memphis,TN,,real estate,27,3.8
Fielder Square,,(901) 587-9384,Memphis,TN,,real estate,26,2.8
Fara Captain - The Captain Group,,(901) 500-8034,Memphis,TN,,real estate,22,5.0
Nine At Memphis,,(901) 480-4700,Memphis,TN,,real estate,17,1.5
Brookfield Properties,,(901) 685-5585,Memphis,TN,,real estate,17,2.7
University Gardens Manor,,(901) 276-4439,Memphis,TN,,real estate,15,4.0
Dogwood Creek,,(901) 854-8822,Collierville,TN,,real estate,15,3.1
HomeRiver Group,,(901) 641-3200,Memphis,TN,,real estate,15,1.3
Azur Tower,,(901) 238-1453,Memphis,TN,,real estate,14,3.6
Sycamore Lake Apartments,,(901) 445-8864,Memphis,TN,,real estate,13,1.8
Bryan Realty Group,,(901) 401-2208,Memphis,TN,,real estate,12,5.0
Kelly Erb - Marx Bensdorf Realtors,,(901) 355-3830,Memphis,TN,,real estate,12,5.0
Arbors River Oaks Apartments,,(901) 563-3839,Memphis,TN,,real estate,12,4.6
Belle Harbour Apartments,,(901) 543-8335,Memphis,TN,,real estate,12,3.0
750 Adams Place,,(901) 525-0681,Memphis,TN,,real estate,11,2.5
Broadmoor Property Management,,(901) 276-3607,Memphis,TN,,real estate,11,3.9
Atlanta Breakfast Club,,(470) 428-3825,Atlanta,GA,,restaurant,8256,4.5
Mary Mac's Tea Room,,(404) 876-1800,Atlanta,GA,,restaurant,5486,3.9
Poor Calvin's,,(470) 570-8741,Atlanta,GA,,restaurant,5099,4.4
Fox Bros. Bar-B-Q,,(404) 577-4030,Atlanta,GA,,restaurant,5027,4.3
Antico Pizza,,(404) 724-2333,Atlanta,GA,,restaurant,3899,4.3
South City Kitchen Midtown,,(404) 873-7358,Atlanta,GA,,restaurant,3559,4.4
The Breakfast Boys,,(470) 312-2108,College Park,GA,,restaurant,2635,4.4
Fat Matt's Rib Shack,,(404) 607-1622,Atlanta,GA,,restaurant,2564,4.2
The Varsity,,(404) 881-1706,Atlanta,GA,,restaurant,2523,3.0
The Optimist,,(404) 477-6260,Atlanta,GA,,restaurant,2389,4.3
Desta Ethiopian Kitchen,,(404) 929-0011,Atlanta,GA,,restaurant,2337,4.5
Hattie B's Hot Chicken - Atlanta East,,(678) 990-5100,Atlanta,GA,,restaurant,2299,4.3
The Vortex Bar And Grill - Midtown,,(404) 875-1667,Atlanta,GA,,restaurant,2087,3.9
Cafe Intermezzo - Midtown,,(470) 878-3137,Atlanta,GA,,restaurant,1767,3.8
Fogo de Chão,,(404) 266-9988,Atlanta,GA,,restaurant,1731,4.2
The Iberian Pig,,(404) 371-8800,Decatur,GA,,restaurant,1695,4.3
Barcelona Inman Park,,(404) 589-1010,Atlanta,GA,,restaurant,1588,4.1
Yard House,,(404) 815-8990,Atlanta,GA,,restaurant,1546,3.1
Eight Sushi Lounge,,(404) 796-8888,Atlanta,GA,,restaurant,1540,4.5
Atlanta Fish Market,,(404) 262-3165,Atlanta,GA,,restaurant,1471,3.5
Sublime Doughnuts,,(404) 897-1801,Atlanta,GA,,restaurant,1407,4.1
Nuevo Laredo Cantina,,(404) 352-9009,Atlanta,GA,,restaurant,1371,3.9
"The Sun Dial Restaurant, Bar & View",,(404) 589-7506,Atlanta,GA,,restaurant,1363,3.3
Bones,,(404) 237-2663,Atlanta,GA,,restaurant,1358,4.4
Grindhouse Killer Burgers,,(470) 516-6140,Atlanta,GA,,restaurant,1345,4.0
Piedmont Nails & Spa,,(404) 815-1872,Atlanta,GA,,beauty,858,4.2
Virtue & Vice Body Piercing,,(404) 315-6925,Atlanta,GA,,beauty,471,4.5
Sweet Peach Wax & Sugaring Studio,,(404) 875-5700,Atlanta,GA,,beauty,468,4.4
Gino's Classic Barbers,,(770) 391-9131,Atlanta,GA,,beauty,424,4.5
Hammond Nails of Buckhead,,(404) 250-9698,Atlanta,GA,,beauty,405,4.3
Unique Threading & Body Wax,,(844) 460-0929,Atlanta,GA,,beauty,397,4.5
Bespoke Salon,,(404) 781-9152,Atlanta,GA,,beauty,380,4.8
Treat Your Feet Buckhead,,(404) 812-0579,Atlanta,GA,,beauty,378,3.9
LeHua Spa,,(770) 438-8888,Atlanta,GA,,beauty,347,4.3
The Art of Touch Therapeutic Massage Center,,(404) 602-4054,Atlanta,GA,,beauty,333,4.5
Hammond Nails Of Sandy Springs,,(404) 459-0750,Sandy Springs,GA,,beauty,304,4.1
Healing Touch Iyashi,,(404) 883-3056,Sandy Springs,GA,,beauty,278,4.5
Opulence Spray Tan,,(678) 480-6742,Atlanta,GA,,beauty,278,4.8
Massage Infinity,,(470) 989-5375,Atlanta,GA,,beauty,274,4.7
Helmet Hairworx,,(404) 815-1629,Atlanta,GA,,beauty,266,4.1
Organic Wax & Sugaring,,(404) 771-1928,Atlanta,GA,,beauty,252,4.8
Melrose and McQueen Salon,,(404) 909-5245,Atlanta,GA,,beauty,250,4.6
Miracle Beauty Salon,,(404) 603-0303,Atlanta,GA,,beauty,246,4.3
Serenity Nail and Spa,,(404) 467-7799,Atlanta,GA,,beauty,245,4.2
Aveda Arts & Sciences Institute - Atlanta,,(877) 892-8332,Atlanta,GA,,beauty,244,3.3
Kolo,,(404) 523-1098,Atlanta,GA,,beauty,241,4.4
Junko Hair Studio,,(404) 814-1827,Atlanta,GA,,beauty,237,4.3
Morningside Nail Bar,,(404) 855-5282,Atlanta,GA,,beauty,228,4.0
Piedmont Barbers,,(404) 248-9999,Atlanta,GA,,barbershop,179,4.7
The Commodore,,(678) 404-8790,Chamblee,GA,,barbershop,166,4.8
Vintage BarberShop,,(678) 967-4700,Sandy Springs,GA,,barbershop,106,4.6
Chuck Simon's Barber Shop,,(404) 636-8961,Decatur,GA,,barbershop,101,4.9
Bishops Cuts & Color Chamblee,,(770) 710-0830,Chamblee,GA,,barbershop,89,4.1
Roosters Men's Grooming Center,,(404) 963-1953,Atlanta,GA,,barbershop,88,4.5
Rudy's Barbershop,,(404) 947-4949,Atlanta,GA,,barbershop,87,3.7
Dominican Barbershop,,(470) 601-7352,Norcross,GA,,barbershop,85,4.6
Maxim Barbers,,(404) 378-7877,Decatur,GA,,barbershop,81,4.3
Vinings Barber,,(678) 217-4367,Atlanta ,GA,,barbershop,79,4.3
Haircuts By Travis,,(678) 472-3417,Marietta,GA,,barbershop,79,4.9
Good Look Barber Shop,,(770) 952-9882,Marietta,GA,,barbershop,78,4.2
Mary Todd Hairdressing Company,,(404) 681-5646,Atlanta,GA,,barbershop,77,4.8
Trophy Room Barber Shop,,(470) 355-1252,Atlanta,GA,,barbershop,76,4.8
Freedom Barber,,(404) 343-0547,Atlanta,GA,,barbershop,74,4.0
West Barber Shop,,(404) 355-9030,Atlanta,GA,,barbershop,71,4.4
Eclectic Barbershop,,(404) 968-9132,Atlanta,GA,,barbershop,69,3.9
18|8 Fine Men's Salons - Brookhaven,,(404) 481-5368,Atlanta,GA,,barbershop,62,3.9
Vista Barbershop,,(404) 235-7335,Atlanta,GA,,barbershop,60,4.4
Jade Salon of Atlanta,,(404) 488-7150,Smyrna,GA,,barbershop,58,4.5
Cutters Lounge,,(404) 228-1025,Atlanta,GA,,barbershop,57,4.6
Tu La 2 Nail Salon & Company,,(404) 869-3600,Atlanta,GA,,barbershop,55,4.8
Roosters Men's Grooming Center,,(770) 303-0069,Atlanta,GA,,barbershop,54,3.9
The Commodore,,(678) 515-3225,Atlanta,GA,,barbershop,54,4.6
Van Michael Salon,,(404) 237-4664,Atlanta,GA,,hair salon,245,4.0
Drybar - Buckhead,,(404) 382-5310,Atlanta,GA,,hair salon,238,3.7
The Cherry Blossom Salon,,(404) 856-0533,Atlanta,GA,,hair salon,224,4.4
Q Hair Studio,,(404) 325-0692,Atlanta,GA,,hair salon,213,4.2
Adore Hair Studio,,(404) 522-0336,Atlanta,GA,,hair salon,195,4.3
Mariemarie Salon,,(404) 849-9970,Atlanta,GA,,hair salon,188,4.6
Hair Images Salon,,(404) 248-0446,Atlanta,GA,,hair salon,181,3.6
Too Groovy Salon,,(404) 873-5300,Atlanta,GA,,hair salon,179,2.9
Jamison Shaw Hairdressers,,(404) 262-3777,Atlanta,GA,,hair salon,175,3.7
Vivid Hair Salon,,(404) 685-3557,Atlanta,GA,,hair salon,152,4.5
Salon Arcaro,,(770) 645-0811,Roswell,GA,,hair salon,150,4.9
Eleven Hair Salon,,(404) 845-6002,Atlanta,GA,,hair salon,149,4.5
Urban Evolution Salon,,(404) 577-7771,Atlanta,GA,,hair salon,146,4.5
Ulta Beauty,,(404) 355-1326,Atlanta,GA,,hair salon,121,2.7
Ulta Beauty,,(404) 266-3559,Atlanta,GA,,hair salon,118,3.1
Salon Red,,(404) 373-2868,Atlanta,GA,,hair salon,115,4.1
Paul Mitchell The School Atlanta,,(404) 888-0070,Atlanta,GA,,hair salon,115,3.4
Hair Dream,,(404) 327-7699,Atlanta,GA,,hair salon,112,4.4
Barron's London Salon,,(404) 812-0032,Atlanta,GA,,hair salon,111,3.4
Aviary Beauty and Wellness,,(404) 577-2460,Atlanta,GA,,hair salon,110,4.8
Two Urban Licks,,(404) 522-4622,Atlanta,GA,,nightlife,3643,3.8
STK Steakhouse,,(404) 793-0144,Atlanta,GA,,nightlife,2493,3.4
Breakfast At Barneys,,(404) 549-6042,Atlanta,GA,,nightlife,2227,3.9
Rumi's Kitchen,,(404) 477-2100,Atlanta,GA,,nightlife,1959,4.2
JINYA Ramen Bar - Sandy Springs,,(404) 600-6974,Sandy Springs,GA,,nightlife,1728,4.3
No Mas! Cantina,,(404) 574-5678,Atlanta,GA,,nightlife,1727,3.7
Vortex Bar & Grill,,(404) 688-1828,Atlanta,GA,,nightlife,1637,4.1
Sweet Georgia's Juke Joint,,(470) 419-5853,Atlanta,GA,,nightlife,1602,3.6
Gunshow,,(404) 380-1886,Atlanta,GA,,nightlife,1594,4.2
BeetleCat,,(678) 732-0360,Atlanta,GA,,nightlife,1523,4.2
Brick Store Pub,,(404) 687-0990,Decatur,GA,,nightlife,1519,4.4
Negril ATL,,(404) 464-7159,Atlanta,GA,,nightlife,1451,3.5
Alma Cocina - Atlanta,,(404) 968-9662,Atlanta,GA,,nightlife,1402,4.2
JINYA Ramen Bar - Buckhead,,(404) 254-4770,Atlanta,GA,,nightlife,1323,4.5
Amalfi Cucina & Mercato,,(404) 228-7528,Atlanta,GA,,nightlife,1297,3.9
Six Feet Under Pub & Fish House - Grant Park,,(404) 523-6664,Atlanta,GA,,nightlife,1262,3.6
Bold Catering & Design,,(404) 815-1178,Atlanta,GA,,event planning,75,4.6
Atlanta Party People,,(678) 431-7465,Atlanta,GA,,event planning,53,4.5
D Cafe,,(470) 305-7615,Atlanta,GA,,event planning,46,4.2
Plated Lounge,,(404) 855-5844,East Point,GA,,event planning,41,4.1
Zegi,,(404) 590-0807,Atlanta,GA,,event planning,36,4.9
Biltmore Ballrooms,,(404) 962-8700,Atlanta,GA,,event planning,27,4.3
Turner Magic & Keynotes,,(404) 644-6791,Atlanta,GA,,event planning,27,5.0
Utopian Events,,(678) 570-4443,Alpharetta,GA,,event planning,27,4.4
Le Maison Rouge,,(404) 249-9965,Atlanta,GA,,event planning,25,4.4
Sixthman,,(877) 749-8462,Atlanta,GA,,event planning,22,2.2
Fufu Catering kitchen &GRILL,,(678) 862-7165,Norcross,GA,,event planning,20,4.0
Young Chefs Academy,,(404) 255-9263,Sandy Springs,GA,,event planning,17,4.6
Big Girl's Catering,,(404) 702-6402,Acworth,GA,,event planning,17,4.4
C Parks Catering & Events,,(404) 874-7644,Atlanta,GA,,event planning,15,4.5
SIFI Entertainment,,(404) 376-4064,Atlanta,GA,,event planning,15,4.7
Handy Entertainment,,(404) 889-6648,Atlanta,GA,,event planning,15,5.0
Action Packed Parties,,(770) 466-3437,Lawrenceville,GA,,event planning,14,3.6
cityHUNT,,(866) 796-6603,Atlanta,GA,,event planning,14,4.9
Miss Milly's,,(678) 333-5115,Alpharetta,GA,,event planning,13,4.4
Emily Jordan Events,,(678) 743-1460,Atlanta,GA,,event planning,12,5.0
Gala Events Facility,,(404) 992-1249,Marietta,GA,,event planning,12,4.7
In An Instant,,(678) 910-9093,Woodstock,GA,,event planning,12,5.0
Unique Events Atlanta,,(770) 726-9772,Atlanta,GA,,event planning,12,2.0
Shaw Tent & Event Rental,,(470) 440-1430,Norcross,GA,,event planning,11,1.6
Blu Bisque,,(404) 593-1431,Atlanta,GA,,event planning,11,2.0
exhale Spa,,(404) 720-5000,Atlanta,GA,,fitness,191,4.1
LA Fitness,,(404) 321-2330,Atlanta,GA,,fitness,190,3.2
X3 Sports - Inman Park,,(678) 903-0100,Atlanta,GA,,fitness,173,3.6
LA Fitness,,(404) 810-9015,Atlanta,GA,,fitness,172,2.5
LA Fitness,,(404) 233-8311,Atlanta,GA,,fitness,165,2.6
LA Fitness,,(404) 249-6463,Atlanta,GA,,fitness,158,2.6
Central Rock Gym - Atlanta,,(678) 720-9882,Atlanta,GA,,fitness,157,4.3
Red Hot Yoga,,(404) 474-7052,Atlanta,GA,,fitness,145,3.8
LA Fitness,,(404) 212-1065,Atlanta,GA,,fitness,139,2.7
Life Time,,(404) 257-0900,Sandy Springs,GA,,fitness,135,2.9
Team Octopus-Chamblee,,(678) 368-4331,Chamblee,GA,,fitness,135,4.5
LA Fitness,,(404) 389-1143,Atlanta,GA,,fitness,110,2.9
Windy Hill Athletic Club,,(770) 746-0213,Atlanta,GA,,fitness,100,3.4
Highland Yoga,,(404) 343-2311,Atlanta,GA,,fitness,97,4.6
Dance 101,,(404) 545-8048,Atlanta,GA,,fitness,95,4.2
SculptHouse - Atlanta,,(470) 553-0080,Atlanta,GA,,fitness,93,4.2
Onelife Fitness - Perimeter Sports Club,,(770) 415-5700,Dunwoody,GA,,fitness,91,3.3
FitWit,,(888) 534-8948,Decatur,GA,,fitness,87,4.9
Crunch Fitness - Perimeter,,(678) 273-3610,Atlanta,GA,,fitness,82,3.2
Dance 411,,(404) 622-4110,Atlanta,GA,,fitness,82,3.8
evolation yoga atlanta,,(844) 287-4420,Atlanta,GA,,fitness,77,4.7
