company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Gus's World Famous Fried Chicken,,(901) 527-4877,Memphis,TN,,restaurant,3735,4.5
Charlie Vergos' Rendezvous,,(901) 523-2746,Memphis,TN,,restaurant,2903,3.6
Central BBQ,,(901) 672-7760,Memphis,TN,,restaurant,2657,3.9
Blues City Cafe,,(901) 526-3637,Memphis,TN,,restaurant,1979,4.0
Central BBQ,,(901) 754-2216,Memphis,TN,,restaurant,1804,4.1
Flight Restaurant and Wine Bar,,(901) 521-8005,Memphis,TN,,restaurant,1660,4.6
B.B. King's Blues Club,,(901) 524-5464,Memphis,TN,,restaurant,1510,4.0
Brother Juniper's,,(901) 324-0144,Memphis,TN,,restaurant,1435,4.5
Corky's Ribs & BBQ,,(901) 685-9744,Memphis,TN,,restaurant,1387,4.0
Germantown Commissary,,(901) 754-5540,Germantown,TN,,restaurant,1316,4.0
Memphis Barbecue,,(662) 536-3762,Horn Lake,MS,,restaurant,1223,4.0
Elwood's Shack,,(901) 761-9898,Memphis,TN,,restaurant,1167,4.5
Sunrise Memphis,,(901) 552-3168,Memphis,TN,,restaurant,1106,4.6
Arcade Restaurant,,(901) 526-5757,Memphis,TN,,restaurant,999,3.2
The Bar-B-Q Shop,,(901) 272-1277,Memphis,TN,,restaurant,903,4.0
Babalu,,(901) 274-0100,Memphis,TN,,restaurant,898,4.1
Gus's World Famous Fried Chicken,,(901) 767-2323,Memphis,TN,,restaurant,897,4.3
The Majestic Grille,,(901) 522-8555,Memphis,TN,,restaurant,896,4.0
Kooky Canuck,,(901) 578-9800,Memphis,TN,,restaurant,849,4.0
Hog & Hominy,,(901) 779-6096,Memphis,TN,,restaurant,762,4.1
Beauty Shop Restaurant,,(901) 272-7111,Memphis,TN,,restaurant,756,4.0
Southern Social,,(901) 754-5555,Germantown,TN,,restaurant,739,4.6
Marlowe's Ribs & Restaurant,,(901) 332-4159,Memphis,TN,,restaurant,710,4.1
SOB Downtown,,(901) 370-2144,Memphis,TN,,restaurant,700,4.0
